Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.175000065234684,-1.28353998601978,0.0846256448065584,0,0,0,9.63410834932178,0.118228807956081,-5.0957321181862E-07,1.72062364122864E-09,0.118225953121689,4.16913652507129E-17,0.137194156018786,0,0,0,0,0,0,package://机械臂/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://机械臂/meshes/base_link.STL,,Main_carrier_of_spool_cover_Varsay_X2_0131_X0_lan-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.10023640362579,-0.00344641251692088,0.174250351355485,0,0,0,5.17491872844292,0.0304221927243367,0.00255793298706213,0.000566537933529525,0.0524628663009184,-5.38795635070424E-05,0.0437592826397428,0,0,0,0,0,0,package://机械臂/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://机械臂/meshes/Link1.STL,,1-1,1-c系,1-z轴,joint1,revolute,0.175,-1.28353998602675,0.180000000000021,0,0,-1.5707963267949,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link2,0.466771973200787,-0.0200679208590893,0.656279146890149,0,0,0,5.06670898247749,0.3470792896805,1.04550875056428E-05,-0.229276580302284,0.500779642027053,1.48421856668549E-05,0.187791160297581,0,0,0,0,0,0,package://机械臂/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://机械臂/meshes/Link2.STL,,2-1,2-c系,2-z轴,joint2,revolute,-0.199999999999705,-0.164019999999946,0.179999999999324,0,0,0,Link1,0,-1,0,0,0,0,0,,,,,,,,
Link3,-0.26645118399556,-0.079424732084338,0.38167788397144,0,0,0,3.09946963131409,0.149105958907437,-1.89957749734383E-05,0.0977586144353564,0.219315567296226,2.72491726693336E-05,0.0773167516090272,0,0,0,0,0,0,package://机械臂/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://机械臂/meshes/Link3.STL,,3-1,3-c系,3-y轴,joint3,revolute,0.695520649063987,0.219020000000473,0.97788088575548,0,0,0,Link2,0,1,0,0,0,0,0,,,,,,,,
Link4,0.0339777660443481,-0.108927859924944,-5.01533037322588E-09,0,0,0,1.32312071913896,0.0040376799409881,2.8629913833031E-06,-4.78825536786573E-11,0.0025574469782764,-2.53060943732125E-10,0.00390753680935879,0,0,0,0,0,0,package://机械臂/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://机械臂/meshes/Link4.STL,,4-1,4-c系,4-y轴,joint4,revolute,-0.466520649051403,-0.211099999835117,0.668269020696948,0,0,0,Link3,0,1,0,0,0,0,0,,,,,,,,
Link5,0.116820494902411,-0.0388858014695093,9.49856462728604E-05,0,0,0,1.49665109696271,0.00362010787485334,2.87189467699518E-06,-7.52821732655946E-09,0.00411237521489435,2.18423673209098E-06,0.00497019007843053,0,0,0,0,0,0,package://机械臂/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://机械臂/meshes/Link5.STL,,5-1,5-c系,5-z轴,joint5,revolute,0.157999999987109,-0.17700000017881,0,0,0,0,Link4,-1,0,0,0,0,0,0,,,,,,,,
Link6,2.28098209260619E-05,-0.0320807203623127,-5.37221285679124E-07,0,0,0,0.225883780891649,0.000200276096336215,1.12516805106898E-07,-8.90541740359369E-09,0.000134409410807654,-4.88400860706578E-10,0.000175807968226694,0,0,0,0,0,0,package://机械臂/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://机械臂/meshes/Link6.STL,,Robotiq 2f-140-1/2F-Body-1,6-c系,6-y轴,joint6,revolute,0.176999999990653,-0.167999494802491,0.000411998519138201,-0.00245237457649197,0,0,Link5,0,-1,0,0,0,0,0,,,,,,,,
Link7,-0.000181478067869945,-0.0317448329689773,0.0398064144277606,0,0,0,0.0319358386218752,2.01085931432526E-05,3.12789550275446E-09,-8.8632784447456E-10,5.09514460934359E-06,6.17937194323444E-06,1.90791381720628E-05,0,0,0,0,0,0,package://机械臂/meshes/Link7.STL,1,1,1,1,0,0,0,0,0,0,package://机械臂/meshes/Link7.STL,,Robotiq 2f-140-1/Finger2-2;Robotiq 2f-140-1/Finger1-2,7-c系,7-x轴,joint7,revolute,0,-0.054663,0.030601,0,0,0,Link6,1,0,0,0,0,0,0,,,,,,,,
Link8,-5.00165586529988E-05,-0.0438269624455681,0.0301838581399925,0,0,0,0.0252265093199784,1.6808616481803E-05,-2.12045463573026E-11,1.53180584275812E-11,7.9387147036509E-06,7.58011607165621E-06,1.36915220963734E-05,0,0,0,0,0,0,package://机械臂/meshes/Link8.STL,1,1,1,1,0,0,0,0,0,0,package://机械臂/meshes/Link8.STL,,Robotiq 2f-140-1/Finger3-2,8-c系,8-x轴,joint8,revolute,0,-0.061178,0.0127,0,0,0,Link6,1,0,0,0,0,0,45,,,,,,,,
Link11,-0.000200000020441404,0.00181476872250885,0.00846774554587926,0,0,0,0.00721958961039276,6.54404874424823E-07,-1.22054472984936E-15,-6.62770202363781E-13,6.47825684492298E-07,-1.54040746931974E-07,4.21420299143768E-07,0,0,0,0,0,0,package://机械臂/meshes/Link11.STL,1,1,1,1,0,0,0,0,0,0,package://机械臂/meshes/Link11.STL,,Robotiq 2f-140-1/Finger4-2;Robotiq 2f-140-1/Fingertip-2,12-c系,12-x轴,joint11,revolute,0,-0.082385,0.05668,0,0,0,Link8,1,0,0,0,0,0,0,,,,,,,,
